export_import,special_general,modified_export_import,modified_special_general
exp,0.0,Exp,
alemeene invoer,gen,Imp,Gen
alemeene uitvoer,gen,Exp,Gen
exp,gen-spe,Re-exp,Gen-Spe
exp,spe,Exp,Spe
exp,dom,Exp,Spe
exp,gen,Exp,Gen
exp,gén,Exp,Gen
exp,gen (home comsumption),Exp,Spe
exp,gen ?,Exp,Gen
exp,gen?,Imp,Gen
exp,genµ,Exp,Gen
exp,général,Exp,Gen
exp,marchandises étrangères,Re-exp,Gen-Spe
exp,marchandises indigènes,Exp,Spe
exp,pdts col. et etr.,Re-exp,Gen-Spe
exp,pdts étr.,Re-exp,Gen-Spe
exp,private account (merchandise),Exp,Private Account (Merchandise)
exp,produits du royaume uni,Exp,Spe
exp,produits étrangers,Re-exp,Gen-Spe
exp,produits étrangers réexportés,Re-exp,Gen-Spe
exp,spe (consumption only),Exp,Spe
exp,spe (merchandise only),Exp,Spe
exp,spe (uitvoer uit het vrije verkeer)),Exp,Spe
exp,spe ?,Exp,Spe
exp,spec,Exp,Spe
exp,t,Exp,Gen
exp,tot,Exp,Gen
exp,tot + gen,Exp,Gen
exp,tot + spe,Exp,Gen
exp,tot*,Exp,Gen
exp,total,Exp,Gen
exp (algemeene uitvoer),gen,Exp,Gen
exp (invoer tot verbruik),gen,Imp,Spe
exp (uitover uit het vrije verkeer),spe,Exp,Spe
exp (uitvoer uit het vrije verkeer),spe,Exp,Spe
exp*,spe,Exp,Spe
immp,0.0,Imp,
imp,0.0,Imp,
imp,consumption,Imp,Spe
imp,foreign produce (merchandise),Imp,Foreign Produce (Merchandise)
imp,french produce (merchandise),Imp,French Produce (Merchandise)
imp,gen,Imp,Gen
imp,gén,Imp,Gen
imp,gen (home comsumption),Imp,Spe
imp,gen ?,Imp,Gen
imp,gen + spe,Imp,Gen
imp,gen?,Imp,Gen
imp,général,Imp,Gen
imp,gen-spe,Re-imp,Gen-Spe
imp,home consumption,Imp,Spe
imp,private account (merchandise),Imp,Private Account (Merchandise)
imp,produits naturels,Imp,Spe
imp,spe,Imp,Spe
imp,spe (consumption only),Imp,Spe
imp,spe (consumption),Imp,Spe
imp,spe (for consumption),Imp,Spe
imp,spe (invoer tot verbruik),Imp,Spe
imp,spe (merchandise and animals),Imp,Spe
imp,spe (merchandise only),Imp,Spe
imp,spe ?,Imp,Spe
imp,spe + gen,Imp,Gen
imp,"spe, transit",Imp,Gen
imp,spec,Imp,Spe
imp,t,Imp,Gen
imp,tot,Imp,Gen
imp,total,Imp,Gen
imp (algemeene invoer),gen,Imp,Gen
imp (algemeene uitvoer),spe,Exp,Gen
imp (invoer tot verbruik),spe,Imp,Spe
imp**,spe,Imp,Spe
imp+exp,0.0,Exp+Imp,
invoer tot verbruik,0.0,Imp,Spe
invoer tot verbruik,gen,Imp,Spe
re-exp,0.0,Re-exp,Gen-Spe
re-imp,0.0,Re-imp,Gen-Spe
total,0.0,Exp+Imp,
total,gen,Exp+Imp,Gen
total,spe,Exp+Imp,Spe
transit,0.0,Re-exp,Gen-Spe
uitvoer huit het vrije verkeer,gen,Exp,Spe
uitvoer uit her vrije verkeer,gen,Exp,Spe
uitvoer uit het vrije verkeer,0.0,Exp,Spe
uitvoer uit het vrije verkeer,gen,Exp,Spe
re-exp,gen-spe,Re-exp,Gen-Spe
exp,?,Exp,
imp,?,Imp,
uitvoer,gen,Exp,Gen
re-exp,gen,Re-exp,Gen
uitvoer uit het vrije verkeer,spe,Exp,Spe
invoer tot verbruik,spe,Imp,Spe
Imp,Spe,Imp,Spe
Exp,Spe,Exp,Spe
Imp,Gen,Imp,Gen
Exp,Gen,Exp,Gen
Re-exp,Gen-Spe,Re-exp,Gen-Spe
Re-exp,Gen,Re-exp,Gen
Imp,gen,Exp,Gen
Imp,N/A,Imp,
Exp,spe,Exp,Spe
Exp,N/A,Exp,
Exp,gen,Exp,Gen
exp,uitvoer uit het vrije verkeer,Exp,Spe
