slug,acronym,name,volume,edition_date,pages,dates
STAT-COM-ALG_1938_1938,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1938,,1938
STAT-COM-ALG_1937_1937,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1937,,1937
STAT-COM-ALG_1936_1936,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1936,,1936
STAT-COM-ALG_1935_1935,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1935,,1935
STAT-COM-ALG_1934_1934,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1934,,1934
STAT-COM-ALG_1933_1933,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1933,,1933
STAT-COM-ALG_1932_1932,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1932,,1932
STAT-COM-ALG_1931_1931,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1931,,1931
STAT-COM-ALG_1930_1930,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1930,,1930
STAT-COM-ALG_1929_1929,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1929,,1929
STAT-COM-ALG_1928_1928,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1928,,1928
STAT-COM-ALG_1927_1927,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1927,,1927
STAT-COM-ALG_1926_1926,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1926,,1926
STAT-COM-ALG_1925_1925,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1925,,1925
STAT-COM-ALG_1924_1924,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1924,,1924
STAT-COM-ALG_1923_1923,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1923,,1923
STAT-COM-ALG_1922_1922,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1922,,1922
STAT-COM-ALG_1921_1921,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1921,,1921
STAT-COM-ALG_1920_1920,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1920,,1920
STAT-COM-ALG_1919_1919,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1919,,1919
STAT-COM-ALG_1918_1918,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1918,,1918
STAT-COM-ALG_1917_1917,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1917,,1917
STAT-COM-ALG_1916_1916,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1916,,1916
STAT-COM-ALG_1915_1915,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1915,,1915
STAT-COM-ALG_1914_1914,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1914,,1914
STAT-COM-ALG_1913_1913,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1913,,1913
STAT-COM-ALG_1912_1912,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1912,,1912
STAT-COM-ALG_1911_1911,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1911,,1911
STAT-COM-ALG_1910_1910,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1910,,1910
STAT-COM-ALG_1901-10_1901,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1901
STAT-COM-ALG_1901-10_1902,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1902
STAT-COM-ALG_1901-10_1903,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1903
STAT-COM-ALG_1901-10_1904,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1904
STAT-COM-ALG_1901-10_1905,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1905
STAT-COM-ALG_1901-10_1906,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1906
STAT-COM-ALG_1901-10_1907,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1907
STAT-COM-ALG_1901-10_1908,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1908
STAT-COM-ALG_1901-10_1909,STAT-COM-ALG,Documents statistiques sur le commerce de l'Algérie,,1901-1910,,1909
TC-ALG_1900_1900,TC-ALG,"Tableau du commerce de l'Algérie avec la France, l'étranger et les colonies françaises",,1900,,1900
