id,partner_ric
600833,Algeria
600834,Netherlands Antilles
600835,Australia
600836,Barbary Coast
600837,Belgium
600838,Brazil
600839,Bremen
600840,Guyana (Br. Guiana)
600841,Central America
600842,Chile
600843,China (People's Republic of China)
600844,Cuba
600845,Curacao
600846,Denmark
600847,Moldavia & Wallachia
600848,Egypt/United Arab Republic
600849,British America
600850,British East Indies
600851,France
600852,Gibraltar
600853,Greece
600854,Greenland
600855,United Kingdom
600856,Haiti
600857,Hamburg
600858,Italy
600859,Japan
600860,Java
600861,Ionian Is.
600862,Cape Colony
600863,Canary Is.
600864,Lubeck
600865,Malta
600866,Morocco
600867,Mauritius
600868,Mecklenburg Schwerin
600869,Mexico
600870,Norway
600871,Oldenburg
600872,Austria
600873,East Africa
600874,Peru
600875,Philippines
600876,Portugal
600877,Germany
600878,Buenos Aires
600879,Russia/USSR
600880,Spain
600881,Surinam
600882,Turkey
600883,Venezuela
600884,United States of America
600885,West Africa
600888,World
600889,Algeria
600890,Netherlands Antilles
600891,Australia
600892,Barbary Coast
600893,Belgium
600894,Brazil
600895,Bremen
600896,Guyana (Br. Guiana)
600897,Central America
600898,Chile
600899,China (People's Republic of China)
600900,Cuba
600901,Curacao
600902,Denmark
600903,Moldavia & Wallachia
600904,Egypt/United Arab Republic
600905,British America
600906,British East Indies
600907,France
600908,Gibraltar
600909,Greece
600910,Greenland
600911,United Kingdom
600912,Haiti
600913,Hamburg
600914,Italy
600915,Japan
600916,Java
600917,Ionian Is.
600918,Cape Colony
600919,Canary Is.
600920,Lubeck
600921,Malta
600922,Morocco
600923,Mauritius
600924,Mecklenburg Schwerin
600925,Mexico
600926,Norway
600927,Oldenburg
600928,Austria
600929,East Africa
600930,Peru
600931,Philippines
600932,Portugal
600933,Germany
600934,Buenos Aires
600935,Russia/USSR
600936,Spain
600937,Surinam
600938,Turkey
600939,Venezuela
600940,United States of America
600941,West Africa
600944,World
601057,Algeria
601058,Netherlands Antilles
601059,Australia
601060,Barbary Coast
601061,Belgium
601062,Brazil
601063,Bremen
601064,Guyana (Br. Guiana)
601065,Central America
601066,Chile
601067,China (People's Republic of China)
601068,Cuba
601069,Curacao
601070,Denmark
601071,Moldavia & Wallachia
601072,Egypt/United Arab Republic
601073,British America
601074,British East Indies
601075,France
601076,Gibraltar
601077,Greece
601078,Greenland
601079,United Kingdom
601080,Haiti
601081,Hamburg
601082,Italy
601083,Japan
601084,Java
601085,Ionian Is.
601086,Cape Colony
601087,Canary Is.
601088,Lubeck
601089,Malta
601090,Morocco
601091,Mauritius
601092,Mecklenburg Schwerin
601093,Mexico
601094,Norway
601095,Oldenburg
601096,Austria
601097,East Africa
601098,Peru
601099,Philippines
601100,Portugal
601101,Germany
601102,Buenos Aires
601103,Russia/USSR
601104,Spain
601105,Surinam
601106,Turkey
601107,Venezuela
601108,United States of America
601109,West Africa
601112,World
601113,Algeria
601114,Netherlands Antilles
601115,Australia
601116,Barbary Coast
601117,Belgium
601118,Brazil
601119,Bremen
601120,Guyana (Br. Guiana)
601121,Central America
601122,Chile
601123,China (People's Republic of China)
601124,Cuba
601125,Curacao
601126,Denmark
601127,Moldavia & Wallachia
601128,Egypt/United Arab Republic
601129,British America
601130,British East Indies
601131,France
601132,Gibraltar
601133,Greece
601134,Greenland
601135,United Kingdom
601136,Haiti
601137,Hamburg
601138,Italy
601139,Japan
601140,Java
601141,Ionian Is.
601142,Cape Colony
601143,Canary Is.
601144,Lubeck
601145,Malta
601146,Morocco
601147,Mauritius
601148,Mecklenburg Schwerin
601149,Mexico
601150,Norway
601151,Oldenburg
601152,Austria
601153,East Africa
601154,Peru
601155,Philippines
601156,Portugal
601157,Germany
601158,Buenos Aires
601159,Russia/USSR
601160,Spain
601161,Surinam
601162,Turkey
601163,Venezuela
601164,United States of America
601165,West Africa
601168,World
2486412,World
2486413,World
2486524,World
2486525,World
